1040.0,1045.0,1000.0,1035.0,848240.0,867.0,5.0,5.0,58.0,1073.0,1100.5555555555557,1100.5555555555557,1100.5555555555557,1,1,1,1,1,1,1155.0,1155.0,925.0,0.0,0.0,555.9777051532212,1645.13340595789,-9.383267195767202E-7,3850521.741071431,2.0318181818181813,2.031808644667078,96.45852749301025,94.04341241797071,94.04341241797071,94.04341241797071,-0.03589182378947801,1100.5555555555557,1125.8752204585535,1135.560957664959,-0.001065048661594022,-9.192490478374574E-4,-3.3816425120772946,
1025.0,1065.0,1000.0,1000.0,1309040.0,1337.0,5.0,35.0,46.0,1046.0,1090.5,1090.5,1090.5,1,1,1,1,1,1,1155.0,1155.0,912.5,0.0,0.0,545.9221495976656,1635.0778504023344,-1.0830026455026463E-6,4444042.053571432,2.154185022026432,2.1541402314832405,95.60229445506691,91.70105456212745,91.70105456212745,91.70105456212745,-0.0304706350064213,1090.5,1122.3376984126983,1134.238631739733,-0.0011644693455692414,-0.0010486345306784843,-4.0,
1025.0,1025.0,960.0,960.0,1850000.0,1834.0,5.0,40.0,62.0,1027.0,1078.6363636363637,1078.6363636363637,1078.6363636363637,1,1,1,1,1,1,1155.0,1155.0,910.0,0.0,0.0,534.0585132340293,1623.2142140386982,-1.27108134920635E-6,5215618.459821432,2.1736641221374047,2.1736204106416874,93.4761441090555,89.00126422250315,89.00126422250315,89.00126422250315,-0.0366352773527506,1078.6363636363637,1118.3648497966678,1132.7955606539997,-0.001272281727452519,-0.0010686988274211464,-4.166666666666666,
975.0,990.0,895.0,920.0,2690360.0,2535.0,5.0,40.0,49.0,991.0,1065.4166666666667,1065.4166666666667,1065.4166666666667,1,1,1,1,1,1,1155.0,1155.0,910.0,0.0,0.0,520.8388162643323,1609.9945170690012,-1.4765211640211926E-6,6058417.3035715455,2.1616260162601844,2.1615913530183666,92.83551967709384,86.35119280406725,86.35119280406725,86.35119280406725,-0.041080682598061385,1065.4166666666667,1113.952501202501,1131.225305699708,-0.0013861768255739402,-0.001029325324422659,3.260869565217391,
930.0,960.0,920.0,950.0,1919810.0,1800.0,2.0,30.0,126.0,973.0,1056.5384615384614,1056.5384615384614,1056.5384615384614,1,1,1,1,1,1,1155.0,1135.0,877.5,0.0,0.0,511.960611136127,1601.1163119407959,-1.5556106701940882E-6,6382875.0744051095,2.0535647629712948,2.053554873257458,97.63617677286743,89.91627229705134,89.91627229705134,89.91627229705134,-0.03221192375232101,1056.5384615384614,1109.5360366129594,1129.556900385343,-0.0014748656222229488,-0.001079439021497157,-6.842105263157896,
950.0,950.0,880.0,885.0,2256755.0,2042.0,5.0,65.0,25.0,943.0,1044.2857142857142,1044.2857142857142,1044.2857142857142,1,1,1,1,1,1,1155.0,1100.0,870.0,0.0,0.0,499.7078638833798,1588.8635646880487,-1.448282163743796E-6,5942566.496715063,1.9310055475275822,1.9310172026622214,93.84941675503711,84.7469220246238,84.7469220246238,84.7469220246238,-0.035409145386858035,1044.2857142857142,1104.8752993038704,1127.7939288795235,-0.00156076378730281,-0.0011764131544797656,-9.6045197740113,
885.0,885.0,795.0,800.0,2364448.0,1965.0,5.0,85.0,46.0,903.0,1028.0,1028.0,1028.0,1,1,1,1,1,1,1155.0,1100.0,870.0,0.0,0.0,483.42214959766557,1572.5778504023344,-4.804238505721428E-7,1971944.1325325607,1.3317197867922723,1.3318337512289706,88.59357696566998,77.82101167315176,77.82101167315176,77.82101167315176,-0.043806806802963665,1028.0,1099.750279350279,1125.9243522442405,-0.0016577289409071894,-0.0012689897481128376,2.5,
810.0,850.0,810.0,820.0,2521350.0,2091.0,2.0,20.0,140.0,875.0,1015.0,1015.0,1015.0,1,1,1,1,1,1,1155.0,1040.0,870.0,0.0,0.0,470.42214959766557,1559.5778504023344,-4.1547958211301324E-8,171463.20511457042,1.0864818808679488,1.0869513503378825,93.71428571428572,80.78817733990148,80.78817733990148,80.78817733990148,-0.03704503690783745,1015.0,1094.4533868908866,1123.9574169096559,-0.0017469515875236424,-0.0013665504483473855,-6.097560975609756,
820.0,840.0,765.0,770.0,1772641.0,1419.0,5.0,50.0,48.0,845.0,1000.5882352941177,1000.5882352941177,1000.5882352941177,1,1,1,1,1,1,1155.0,1035.0,870.0,0.0,0.0,456.01038489178325,1545.1660856964522,2.8315145502972114E-7,-1160610.6473348276,-5.815051021031932,-5.768861264195524,91.12426035502959,76.95473251028805,76.95473251028805,76.95473251028805,-0.03726896941960983,1000.5882352941177,1088.9319073851943,1121.8970928199817,-0.001833097997021161,-0.0014623760550186082,-3.896103896103896,
725.0,810.0,720.0,740.0,1867861.0,1402.0,5.0,30.0,71.0,803.0,986.1111111111111,986.1111111111111,986.1111111111111,1,1,1,1,1,1,1155.0,1000.0,870.0,0.0,0.0,441.53326070877665,1530.6889615134455,5.301514438198699E-7,-2173923.924801148,2.87232463193319,2.8730863186489337,92.15442092154422,75.04225352112677,75.04225352112677,75.04225352112677,-0.03728560705370516,986.1111111111111,1083.219640925523,1119.7483454925118,-0.0019152802349000086,-0.0015568462298303845,0.0,
750.0,785.0,730.0,740.0,3854091.0,2868.0,3.0,0.0,75.0,774.0,973.1578947368421,973.1578947368421,973.1578947368421,1,1,1,1,1,1,1155.0,960.0,870.0,0.0,0.0,428.58004433450765,1517.7357451391765,7.055572329602584E-7,-2893523.2087971573,2.330859778248546,2.331014013777797,95.60723514211887,76.04110329908058,76.04110329908058,76.04110329908058,-0.033581259219274406,973.1578947368421,1077.4269174419082,1117.520901910901,-0.001989235876594211,-0.0016484869554998255,8.108108108108109,
